Splat,Category,Name,Dots/Xp,Type,Resonance,Flavor,System
DragonBlooded,General Terrestrial,Unassailable Body of (Element) Defense ,3,,,"The Dragon-Blooded utterly surrenders herself to the purity of her aspect, achieving a moment of oneness in which she approaches invulnerability. She momentarily transforms into her aspect element — she becomes a figure made of mist, dust, smoky flame, water, or swirling leaves — allowing an attack to pass harmlessly through her.","Once per scene, spend 1 Mote, 1 Willpower in response to an attack or other hazard.
The attack fails to strike the Exalt. This Charm cannot be used in response to undodgeable attacks. It also has a particular weakness, depending on the character’s aspect.
• Air: Air is vulnerable to earth-aspected attacks and against attacks made with two-handed close-range weapons, whose sheer bulk disrupts her form. The Charm fails to protect the Exalt against such attacks.
• Earth: Earth is vulnerable to wood-aspected attacks and against attacks made with wooden weapons such as arrows or clubs, as the earth habitually yields to burrowing roots. This Charm fails to protect the Exalt against such attacks.
• Fire: Fire is vulnerable to water-aspected attacks; this Charm fails to protect the Exalt against such attacks. It also cannot be activated while the Exalt is wet, such as when underwater, standing in the rain, or when she has just emerged from a bath.
• Water: Water is vulnerable to air-aspected attacks and attacks made with ice or with freezing cold. This Charm fails to protect the Exalt against such attacks. It also cannot be activated while the Exalt stands in freezing temperatures.
• Wood: Wood is vulnerable to fire-aspected attacks and to burning attacks such as flaming arrows. This Charm fails to protect the Exalt against such attacks."
DragonBlooded,Air,Drifting Zephyr Step ,1,,Athletics,"Essence lightens the Dragon-Blood’s step, allowing her to quickly disentangle herself from the fiercest fray by riding the shafts of arrows and treading upon the tips of spears.","(Half of her Essence rating, round up) times per battle, the Exalt may reflexively move to a different zone despite having been attacked before her turn."
DragonBlooded,Air,Elemental Concentration Trance ,1,,Lore,"An ever-popular Charm among diligent students of the Spiral Academy and the Heptagram, this technique permits the Dragon-Blooded to compact a week’s worth of learning into a single day of furious study, assuming she has all of the materials she’ll need to consult ready to hand.","The Exalt suffers one level of unavoidable bashing damage upon activating this Charm, and another level at the beginning of each subsequent day of using this Charm, which she cannot heal until her studying binge is complete."
DragonBlooded,Air,Gale-Force Research Technique ,1,,Lore,"While standing within a library or similar archive, the Dragon-Blooded fixes a question in her mind and unleashes her Essence. Violent winds disrupt the room, toppling books from shelves and scattering loose papers in all directions. If the information she seeks is present, then when she opens her eyes, she will find it sitting before her; the relevant papers have been blown into her hands, or the relevant book has tumbled open in front of her, opened to the passage she needs.
Exalts are encouraged not to use this Charm in the library of anyone they particularly care about keeping friendly toward them, since even if it doesn’t damage rare volumes or fragile relics, it always makes a hell of a mess.",The character spends 1 Mote and rolls Intelligence + Lore against difficulty 5. Success allows her to locate any relevant information instantly if it is there to be found.
DragonBlooded,Air,Grasping Talon of the Wind Dragon ,1,,"Athletics,Thrown","The Dragon-Blooded creates a powerful wind-vortex in her hand, drawing a nearby object into her grasp.","With a moment’s concentration, the Exalt’s player may roll Dexterity + Athletics against difficulty 6 to pull an object into the character’s hand. The object can weigh no more than 10 pounds (or must be an attuned artifact, which may ignore this weight limit), must be no more than one zone away, and cannot be held or carried by another character. Alternately, the DragonBlooded can reflexively spend 1 Mote to draw the item to hand without need of an action or a roll (but otherwise still subject to the above restrictions).
If a Dragon-Blooded knows this Charm, then any Thrown weapon she hurls always reflexively returns to her hand at the end of the round unless she wishes it not to."
DragonBlooded,Air,Harmonious Wind-Luring Song ,1,,"Linguistics,Occult,Performance","The Exalt composes a quick performance — a song, a musical number, a recited poem — as a gift to the elementals of the world. If they find it pleasing, the winds soon begin to blow according to her desire.","Spend 1 Mote and roll Charisma + (Linguistics or Performance) against difficulty 6.
The wind picks up and blows as the Exalt desires for a number of hours equal to the successes rolled. By default, this is a stiff, substantial wind: not violent or damaging, but enough to reduce the maximum range of Archery attacks launched directly against it by one zone, and to move a sailing vessel. If three successes are rolled, the Dragon-Blooded may instead opt to conjure a violent storm which runs out of her control for an hour, with successes beyond the three required to conjure it being used to extend its duration for additional hours. The storm isn’t at the level of a full-blown environmental hazard, but getting around in it requires complex movement, it imposes a –2 penalty to all Awareness rolls, and it will generally play havoc with shipping, troop movements, public gatherings, and the like."
DragonBlooded,Air,Language-Learning Ritual ,1,,"Linguistics,Lore","By spending at least an hour listening to a language, the Dragon-Blooded may gain temporary fluency in it.","Spend 1 Mote and roll Intelligence + Linguistics (difficulty 6) to capture a swirl of unfamiliar words within the familiar embrace of the wind. The character gains fluency in the targeted language for a number of days equal to the successes rolled. If no successes are rolled, gain fluency for one scene."
DragonBlooded,Air,Soundless Action Prana ,1,,Stealth,The Dragon-Blooded stirs the air to smother all noises she makes.,"Spend 1 Mote or 1 Willpower. For the rest of the scene, the character’s actions make no noise at all unless she wishes them to."
DragonBlooded,Air,Voice of Mastery ,1,,"Linguistics,Presence,War","The Dragon-Blooded may use her Essence to compress data into its most compact and efficacious presentation, conveying a wealth of meaning in only a few words: a useful talent indeed for a battlefield commander.","Spend 1 Mote. The Exalt may use only a single turn — in dramatic time, about five seconds — to completely and concisely sum up data that would normally require up to a halfhour of careful explanation, without losing any nuance at all."
DragonBlooded,Air,Whispering Thief Technique ,1,,"Larceny,Linguistics,Performance","The Dragon-Blooded may breathe her words into the wind, allowing her to throw her voice.","The character may, at any time, make her voice seem to issue from anywhere, anyone, or anything within the same or an adjacent zone without need for a dice roll."
DragonBlooded,Air,Wind-Carried Words Technique ,1,,Linguistics,"The Dragon-Blooded may entrust her words to the wind, letting it carry whatever she says to a desired recipient.","The character speaks a message no longer than a few sentences, then rolls Wits + Linguistics. The wind carries her words to a desired character up to (successes × 10) miles away.
If the target is the subject of one of her Intimacies, or if the Dragon-Blooded spends 1 Mote, they may be up to (successes × 100) miles away."
DragonBlooded,Air,Wind Weapons ,1,,"Melee,Thrown","With but a moment’s concentration, the Exalt may solidify melee or throwing weapons out of the very air itself.","Roll Wits + Athletics against difficulty 6 to sculpt a desired melee or throwing weapon from the air itself. Melee weapons last for the rest of the scene, while throwing weapons dissipate after being hurled, only to be immediately replaced by a fresh copy. Alternately, spend 1 Mote to reflexively begin wielding Wind Weapons without needing to spend a turn in concentration or make a roll."
DragonBlooded,Air,Crosswind Gale Offense ,2,,Melee,The Dragon-Blooded may conjure a powerful wind to carry even the heaviest of weapons into a distant enemy and then return it to her hand.,"Reflexively spend 1 Mote. For the rest of the scene, the character can make Melee and Martial Arts attacks against enemies up to one range band away by throwing her weapon and then having it come back to her once the attack resolves."
DragonBlooded,Air,Distracting Breeze Meditation ,2,,"Occult,Thrown","The Dragon-Blooded may stir the wind to knock over small objects, slam doors, rustle curtains, and otherwise cause small distractions.","Spend 1 Mote and roll Dexterity + (Occult or Thrown). For the next (1 + successes rolled) scenes, all opposed rolls against the Dragon-Blooded (such as to detect her while she hides, or to attack her) suffer a –1 die penalty."
DragonBlooded,Air,Grace of Mela ,2,,"Athletics,Lore,Occult","The Dragon-Blooded may fill herself with the ferocity of the cyclone, the speed of the gale, or the grandeur of the raging storm simply by exposure to such forces of nature.","When exposed to a significant manifestation of the element of wind such as a powerful storm, or when at great elevation (atop a tower, high up on a mountain), the Dragon-Blooded adds one bonus die to all rolls based on Strength, Dexterity, Charisma, Perception, or Wits."
DragonBlooded,Air,Horizon-Spanning Arc ,2,,"Archery,Thrown",The Dragon-Blood uses a concentrated stream of wind to carry her attack much farther than it should possibly be able to reach.,The Exalt may launch an Archery or Thrown attack against a target one zone farther away than the normal maximum range of her weapon. This Charm may be used a number of times per scene equal to her Essence rating.
DragonBlooded,Air,Speech Without Words ,2,,"Linguistics,War","The Exalt may instinctively craft highly expressive hand signals, facial expressions, and nonverbal communicative ticks (such as winking, tapping a foot twice, clicking a spoon against her glass, or pulling an earlobe) in order to secretly convey info to those she is familiar with.","This Charm grants the Exalt a highly informal secret language that she can adapt to be understood by anyone she has been familiar with for more than a day. She can tune her semaphore at any time to be understood only by those she wishes to understand it. Observers can make a Perception + Awareness roll against a difficulty of (4 + Exalt’s Linguistics rating) to realize she’s using code-signs and not simply feeling restless, but the actual code itself is as difficult to decode as any language would be. If Charms are used to do so, they do not convey an enduring benefit; the Exalt essentially invents this language anew in each scene where she uses it."
DragonBlooded,Air,Spirit-Detecting Mirror Technique ,2,,"Awareness,Occult","The Exalt may attune her senses to the subtle presence of gods and ghosts, glimpsing them in reflective surfaces such as mirrors or still water.","Concentrate and roll Perception + Occult (difficulty 8) while staring into a reflective surface, or spend 1 Mote to bypass the roll. For the rest of the scene, the Exalt can see dematerialized beings and spirit sanctums reflected in that surface, and can physically interact with them. Targeting opponents in combat by such awkward means imposes a –2 die penalty."
DragonBlooded,Air,Voices on the Wind ,2,,Awareness,"The Exalt stirs the wind to bring words to her ears, allowing her to eavesdrop from afar.","The Exalt may devote her full concentration to stirring the air. While she does so, she can listen in on what is being said in a location up to (Awareness rating) zones away as though she stood in the midst of the speakers."
DragonBlooded,Air,Wind Armor Technique ,2,,"Craft,Occult,Resistance,War","The Dragon-Blooded, in a moment of ferocious concentration, solidifies the air around her into a suit of shimmering armor.","The Exalt must spend a turn in concentration and succeed at a difficulty 9 Wits + (Craft, Occult, or Resistance) roll in order to immediately create and don a suit of mundane medium armor which lasts for the rest of the scene. Alternately, she may reflexively pay 1 Mote to sculpt the armor without need for a roll or a turn of concentration. This armor has no fatigue value. It cannot be worn over the top of real armor."
DragonBlooded,Air,With One Mind ,2,,War,"The Dragon-Blood moves in perfect synchronicity with her comrades to seize the advantage in battle, carving an opening that they instinctively see the opportunity to support.","When an Exalt with this charm cuts ahead in battle, one of her allies may immediately follow her and do so as well before any of their opponents gets a chance to act, and does not have to pay Willpower to take advantage of the opening. This Charm can activate a number of times per battle equal to the user’s Essence rating."
DragonBlooded,Air,Dragon Shroud Technique ,3,,Stealth,"The Dragon-Blooded can wrap herself in a shroud of concealing air, becoming little more than a faint shimmer.","Spending 2 Motes renders the Exalt invisible and impossible to notice for the rest of the scene, so long as she doesn’t make some sort of loud noise or take blatant action such as attacking or tipping over a bookshelf."
DragonBlooded,Air,Elemental Concentration Trance ,3,,Lore,"By intently focusing her Essence, the Dragon-Blooded may compress many days of study into an hour.","Spend 1 Mote and roll Intelligence + Lore (difficulty 7). The player may add the character’s Essence rating in additional Ability dots to whatever subjects or activities the character studied. These dots remain for a number of days equal to the successes rolled, and cannot raise an Ability above 5 dots. Only one instance of this Charm may be active at a time."
DragonBlooded,Air,Elusive Cyclone Defense ,3,,Athletics,"The Dragon-Blooded girds herself in a powerful barrier of howling winds, brushing aside incoming projectiles.","Reflexively spend 1 Mote. For the next (2 + Essence rating) turns, subtract one success from all ranged attacks directed against the Exalt."
DragonBlooded,Air,Haunting Words Infliction ,3,,Presence,"The Dragon-Blooded’s words wind their way deep into the soul of another, striking through her cynicism and practical concerns to find her heart.","Spend 1 Mote when making an inspiration attempt (see p. XX) to lower its difficulty by –2. If the character is trying to instill one of her own Intimacies into the target, lower the difficulty by –3 instead."
DragonBlooded,Air,Seeking Missile Technique ,3,,"Archery,Thrown","The Exalt bends the winds around the course of her attacks, granting even those arrows and knives that disappoint her at first an ultimate second chance to do their work.","When an Archery or Thrown attack on which the Exalt spent a point of Willpower to lower the difficulty nonetheless fails to strike its target, then at the end of the round after all other characters have acted, she may roll the attack and apply it again as the wind carries her projectile back around for another try. This Charm may activate a number of times per scene equal to the character’s Essence rating."
DragonBlooded,Air,Terrestrial Circle Sorcery ,3,,Occult,The Dragon-Blooded has been initiated into the practice of sorcery. She can cast Terrestrial Circle spells and enact sorcerous workings. Purchase of this Charm grants one shaping ritual and one Terrestrial Circle spell.,See Chapter Eleven for rules on playing a sorcerer.
DragonBlooded,Air,Vengeful Gust Strike ,3,,"Archery,Brawl,Martial Arts","The Dragon-Blooded learns to harness the gale as her weapon, sending foes flying.","When the Exalt launches an attack, she may reflexively spend 1 Mote before rolling to wreath her attack in a latent stormburst. If the attack succeeds, it increases its base damage by +2, sends her opponent flying into an adjacent zone and knocks them prone; they must climb back to their feet on their next turn, a form of complex movement that leaves them unable to move to another zone. Additionally, any 10s on the damage roll count as two successes, as the Dragon-Blooded fortuitously aims her enemy at something hard or dangerous."
DragonBlooded,Air,Whirlwind Shield Form ,3,,"Athletics,Resistance,Stealth","The Dragon-Blooded bends ferocious air currents around herself, creating a defensive barrier against ranged attacks.","Spend 1 Mote reflexively. For the rest of the scene, the character adds her Dexterity in additional soak dice against damage from ranged attacks."
DragonBlooded,Earth,All-Encompassing Earth Sense ,1,,Awareness,"By concentrating for a moment, the Dragon-Blooded extends her senses down into the earth itself, “seeing” the weight and tremors of movement upon the ground.","The character can “see” perfectly in the dark, so long as what she’s “seeing” is connected to the ground in any way. This Charm cannot see any flying creature or object, and is entirely useless in or upon deep water or in the air."
DragonBlooded,Earth,Crystal Sight Focus ,1,,Awareness,"Sharpening her vision by focusing her Essence like a prism, the Dragon-Blood gains unsurpassed clarity of sight.","The Exalt must spend a turn in concentration to activate or banish this Charm. While it is active, the difficulty of all vision-based Perception rolls drops by –3, to a minimum of difficulty 3. This level of constant visual overstimulation is difficult to manage, and so the character suffers a cumulative –1 die penalty to all rolls involving her mental Attributes for each consecutive scene after the first where she has this Charm active most of the time."
DragonBlooded,Earth,Earth Dragon’s Stony Glare ,1,,Presence,"The character makes her eyes hard and unforgiving as flint, even as her features subtly sharpen.",All intimidation attempts are made at –1 difficulty.
DragonBlooded,Earth,Entombed Mind Technique ,1,,Empathy,"The Dragon-Blooded may carefully infuse the somnolent Essence of Earth into someone, placing them into a deep slumber.","By force, guile, social obligation or trickery, the Dragon-Blooded must arrange for her target to remain relatively still for five minutes in order to use this Charm. She may then spend 1 Mote and her player rolls Stamina + Empathy, contested by the target’s Willpower (both at difficulty 6). The target falls asleep for one hour per success by which the Dragon-Blooded wins the contest, and cannot be roused by anything shy of a cacophonous sound or being physically shaken or injured."
DragonBlooded,Earth,Inviolable Diamond Soul ,1,,Resistance,"The Dragon-Blooded hardens her spirit against the corrosive influence of the Wyld, turning the flows of her Essence inward to survive extended forays into the lands of madness. This inversion slowly poisons her, and so is not an indefinite defense, merely an extended one.","It takes only a turn of concentration to activate this Charm. The character is protected against the mutating and maddening influence of the Wyld while it is active. At the end of every full 24 hours in which this Charm is left active, the character suffers one level of unavoidable aggravated damage as her body slowly turns into living stone or crystal. This damage cannot be healed by any means while the Charm remains active. If she permits Inviolable Diamond Soul to kill her, she leaves behind a stone or crystalline statue brimming with potent Essence and potentially useful in artifact-crafting.
The character may spend 1 Mote to extend this Charm’s benefits to up to (Essence rating) companions when she activates it, but she suffers an additional level of damage for each person she protects when the Charm’s bill comes due each day unless she also knows Chaos-Warding Prana. If she knows both Charms, then she merely needs to pay a 1 Mote upkeep every 24 hours to continue to extend its benefits while suffering only a single level of daily damage."
DragonBlooded,Earth,Mountain-Trampling Hoof ,1,,Ride,"The Dragon-Blood sheathes herself and her mount in a temporary shell of powerful Essence, protecting them both and allowing them to break through all opposition.","While mounted, spend 1 Mote and roll Stamina + Ride against difficulty 8. Success adds (Ride rating) additional soak to both the Exalt and her mount until her next turn, and allows her to move from one zone to an adjacent zone regardless of obstacles up to and including solid stone walls: she simply crashes through in a cloud of dust and debris, unharmed."
DragonBlooded,Earth,Ox-Body Technique ,1,,Resistance,"The Terrestrial’s body is fortified with the solidity of the earth, enabling her to survive grievous injuries.","The character permanently gains an additional set of (–0) and (–1) health levels.
This Charm can be purchased a number of times equal to the higher of the character’s Stamina or Resistance ratings."
DragonBlooded,Earth,Righteous Lion Defense ,1,,"Presence,Resistance","The Dragon-Blooded fortifies her beliefs with the solidity of the Earth itself, encasing her convictions in the heart of an unassailable mountain.","Any attempt to cause or force the Exalt to betray, undermine, or abandon her Intimacies automatically fails."
DragonBlooded,Earth,Shaping Hand Style ,1,,Craft,"The Exalt may use her bare hands as though they were a variety of mundane tools without suffering any damage, hammering in nails with her fists or pulling them out with her teeth, sawing boards with a knife-edge hand motion, and so on.",The Exalt never suffers any penalties or problems from lacking the proper tools to construct or repair something.
DragonBlooded,Earth,Stone-Carving Fingers Form ,1,,Craft,"Taking a moment to concentrate her Essence into her fingertips, the Exalt gains the ability to work stone with her bare hands as though it were soft clay.","Roll Willpower (difficulty 6) to activate this Charm for a scene. While this Charm has obvious utility in sculpture, it can also be used to dig through or easily climb up stone surfaces."
DragonBlooded,Earth,Chaos-Warding Prana ,2,,"Occult,Resistance",The Dragon-Blooded solidifies her Essence to resist hostile magic and the powers of chaos.,"Whenever the character is the subject of any hostile supernatural power that seeks to transform, infect, taint, transport, or control her body or spirit, or to warp her destiny or place in the world (such as by attacking her Backgrounds), the difficulty to do so is raised by 1. If affected anyway, she may spend 1 Mote and roll Stamina + Occult against difficulty 8. Success shatters the magic, protecting the Dragon-Blooded completely. Since this expenditure isn’t reflexive, the Dragon-Blooded may spend a few moments fluctuating in mid-transformation or teleportation, as her Essence battles with the magic seeking to suborn her."
DragonBlooded,Earth,Flawless Diamond Heart ,2,,"Empathy,Presence,Resistance","The Exalt’s resolve has about it the solidity of stone, its roots sunk as deep into her spirit as the Imperial Mountain which anchors all of Creation.","Reflexively spend 1 Mote. For the rest of the scene, Willpower rolls are not subject to the rule of 1s, and count results of 10 as two successes."
DragonBlooded,Earth,Granite Curtain of Serenity ,2,,"Empathy,Resistance","Entombing her mind in a crystalline shell of Essence, the Dragon-Blooded protects herself from attempts to subvert her thoughts and feelings.",Reflexively spend 1 Mote to become immune to all thought and emotion-altering magic for a number of minutes equal to the character’s Essence rating.
DragonBlooded,Earth,Heart-Crushing Stone ,2,,"Empathy,Resistance","The Exalt may, when her own values are being turned against her, crush them between the stones of her resolve and her Essence in order to escape their influence.",The Exalt may pay 1 Mote to destroy one of her permanent or temporary Intimacies. It cannot be rebuilt until (Essence rating) stories have ended.
DragonBlooded,Earth,Impervious Skin of Stone Meditation ,2,,Resistance,"The Dragon-Blooded draws the solidity of stone up into her flesh. She must be in contact with stone or soil to use this Charm. Traditionally this is accomplished by standing upon the bare Earth or a stone floor, but many Dragon-Blooded carry a small rock in their pocket, or wear a precious stone on a ring in order to use this Charm at any time.",Reflexively spending 1 Mote allows the Dragon-Blooded to change her soak pool calculation to (Stamina + Resistance + armor’s Soak value) for the rest of the scene.
DragonBlooded,Earth,Pasiap Still Stands ,2,,"Awareness,Athletics,Presence,Resistance",The Dragon-Blooded may fill herself with the unyielding solidity of the Earth itself simply by being enfolded in its mass.,"When surrounded by earth and stone, such as within a cave or canyon, within a structure primarily made of earth and stone, or when underground (in a basement, sewer system, etc), the Dragon-Blooded adds one bonus die to all rolls based on Strength, Stamina, Charisma, Perception, or Intelligence."
DragonBlooded,Earth,Sense-Destroying Technique ,2,,"Awareness,Occult","Through a moment’s total concentration and a precision application of offensive Essence, the Dragon-Blooded may shut down someone else’s senses, striking them blind, deaf, or bereft of taste and smell.","Concentrate utterly upon a target no more than one zone away and roll Intelligence + Awareness, contested by the target’s Willpower, both at difficulty 6. If the Exalt beats the target’s successes, he loses access to a sense of her choosing until the end of the current round: sight, smell and taste, or hearing and touch. If she beats the target by a number of successes equal to his Perception rating, or opts to reflexively spend 1 Mote after beating his Willpower roll by a lesser number of successes, then she may shut down that sense until the end of the current scene. See page XX for rules on fighting while blind."
